"study_id","crop_name","taxon","data_producer_institute","country","start_date","type","participants","filename"
"ea0eb14e67ce","amaranth","Amaranthus spp.","World Vegetable Center","TZ","2024-04-13","on-farm",300,"amaranth-ea0eb14e67ce-v2025-09-07.json"
"d2a6d0817bc8","amaranth","Amaranthus spp.","World Vegetable Center","TZ","2022-10-12","on-farm",300,"amaranth-d2a6d0817bc8-v2025-09-07.json"
"34ae6579aee1","amaranth","Amaranthus spp.","World Vegetable Center","TZ","2024-09-20","on-farm",184,"amaranth-34ae6579aee1.json"
"a0e73fbc75df","jutemallow","Corchorus spp.","World Vegetable Center","ML","2023-12-29","on-farm",200,"jutemallow-a0e73fbc75df.json"
"504fc5afe13d","amaranth","Amaranthus spp.","World Vegetable Center","ML","2023-12-31","on-farm",268,"amaranth-504fc5afe13d.json"
"e7c470820fcb","amaranth","Amaranthus spp.","World Vegetable Center","BJ","2023-10-28","on-farm",988,"amaranth-e7c470820fcb.json"
"f45fe71a181e","jutemallow","Corchorus spp.","World Vegetable Center","BJ","2023-10-30","on-farm",492,"jutemallow-f45fe71a181e.json"
"7314993d7741","okra","Abelmoschus spp.","World Vegetable Center","BJ","2023-10-29","on-farm",444,"okra-7314993d7741.json"
"1fc146359dc3","jutemallow","Corchorus spp.","World Vegetable Center","ML","2023-07-05","on-farm",180,"jutemallow-1fc146359dc3.json"
"2ab3d2834ddc","okra","Abelmoschus spp.","World Vegetable Center","ML","2023-07-05","on-farm",250,"okra-2ab3d2834ddc.json"
"c040dd407d19","amaranth","Amaranthus spp.","World Vegetable Center","ML","2023-07-05","on-farm",250,"amaranth-c040dd407d19.json"
