Surname,Name,Role,Affiliation
Aguilar,Amilcar,Bean,CATIE
Angudubo,Stephen,Cassava,Alliance
Arnaud,Elizabeth,Data,Alliance
Barrios,Mirna,Bean,CATIE
Borman,Gareth,20+ crops Ethiopia,WUR
Brown,David,Data,Alliance
Carey,Edward,Sweetpotato,CIP
Chaves,Néstor,Bean,UCR
Daudi,Happy,Groundnut,TARI
Fadda,Carlo,Durum,Alliance
Gebrehawaryat,Yosef,Durum,Alliance
Gupta,Arnab,"Rice, Wheat",WUR
Hernández,Juan Carlos,Bean,MAGA-CR
Jai,Rana,20+ crops India,Alliance
Kalemera,Sylvia,Bean,Alliance
Kasubiri,Fadhili,Bean,Alliance
Lakew,Basazen ,Durum,Sant'Anna
Laporte,Marie-Angélique,Data,Alliance
Madriz,Brandon,Data,Alliance
Manners,Rhys,Potato,IITA
Mathur,Prem,STOL,Alliance
Mendes,Thiago,Potato,CIP
Mengistu,Dejene K.,Durum,Alliance
Mousavi,Hesam,Data,INN
Muungani,Dean,"Wheat, maize",IITA
Nabateregga,Mabel,Data,INN
Nyirahabimana,Hyacinthe,Potato,IITA
Orozco,Laura,Bean,OAF
Otieno,Gloria,,Alliance
Quiros,Carlos,Data,Alliance
Rosas,Juan Carlos,Bean,Zamorano
Schaap,Mirjam,20+ crops Ethiopia,WUR
Sharma,Neeraj,"Rice, Wheat",CIP
Solberg,Svein Øivind,Data,INN
Ssali,Reuben,Potato,CIP
Steinke,Jonathan,Bean,Alliance
Suchini,Jose Gabriel,Bean,CATIE
Teeken,Béla,Cassava,IITA
Tufan,Hale Ann,Cassava,Cornell
Ulzen,Jacob ,Sweetpotato ,Alliance
